x, y, group
11.45, 14.2, H
11.1, 14.2, H
11.9, 9.9, H
11.6, 14.5, H
11.1, 11.7, H
14.7, 9.5, H
7.9, 11.6, H
14.7, 11.7, H
11.45, 14.2, H
12.1, 9.2, H
7.5, 11, H
14.5, 14.5, H
11.45, 9.7, H
14.45, 11.6, H
11.5, 7.6, H
11, 11.45, H
14.7, 12, H
11.7, 9.7, H
9.6, 9, H
12, 11, H
11.45, 14.5, H
11.11, 14.6, H
12.7, 11.11, H
11, 12.2, H
11, 14.9, H
9.5, 11.7, H
11.7, 14.7, H
11.9, 14.5, H
14, 14.5, H
7.11, 11, H
11.11, 11.45, H
11, 14.2, H
14.7, 11.7, H
14.5, 11.9, H
